movie_name,release_year,certificate,duration,genre,star,metascore,votes
Moxie,2021,PG-13,111 min,"Comedy, Drama, Music",6.7,54        ,"19,535"
Night Stalker: The Hunt for a Serial Killer,2021,TV-MA,189 min,"Documentary, Crime, Mystery",7.5,nil,"19,327"
Bad Trip,2021,R,86 min,Comedy,6.6,61        ,"18,998"
 WandaVision,2021,TV-PG,33 min,"Action, Comedy, Drama",8.2,nil,"18,652"
To All the Boys: Always and Forever,2021,TV-14,109 min,"Comedy, Drama, Romance",6.3,65        ,"18,051"
Yes Day,2021,PG,86 min,"Comedy, Family",5.7,46        ,"18,048"
 WandaVision,2021,TV-PG,47 min,"Action, Comedy, Drama",9.0,nil,"17,872"
 Loki,2021– ,TV-14,51 min,"Action, Adventure, Fantasy",8.8,nil,"17,772"
 WandaVision,2021,TV-PG,50 min,"Action, Comedy, Drama",8.4,nil,"17,755"
The Innocent,2021,TV-MA,467 min,"Crime, Drama, Mystery",7.9,nil,"17,488"
Wrong Turn,2021,R,109 min,"Horror, Thriller",5.5,46        ,"17,373"
 WandaVision,2021,TV-PG,38 min,"Action, Comedy, Drama",8.9,nil,"17,358"
F9: The Fast Saga,2021,PG-13,145 min,"Action, Adventure, Crime",5.5,59        ,"17,135"
 Attack on Titan,2013–2021,TV-MA,24 min,"Animation, Action, Adventure",9.3,nil,"16,782"
 WandaVision,2021,TV-PG,38 min,"Action, Comedy, Drama",8.5,nil,"16,204"
Firefly Lane,2021– ,TV-MA,nil,"Drama, Romance",7.5,nil,"15,977"
Below Zero,2021,TV-MA,106 min,"Action, Adventure, Crime",6.2,nil,"15,505"
Karnan,2021,not rated,158 min,"Action, Drama",8.3,nil,"15,322"
 The Falcon and the Winter Soldier,2021,TV-14,47 min,"Action, Adventure, Drama",7.7,nil,"15,104"
The Marksman,2021,PG-13,108 min,"Action, Drama, Thriller",5.6,44        ,"15,062"
Superman and Lois,2021– ,TV-14,42 min,"Action, Adventure, Drama",7.9,nil,"14,965"
Willy's Wonderland,2021,TV-MA,88 min,"Action, Comedy, Horror",5.6,44        ,"14,692"
Crime Scene: The Vanishing at the Cecil Hotel,2021,TV-MA,219 min,"Documentary, Crime, Mystery",5.9,nil,"14,667"
The Map of Tiny Perfect Things,2021,PG-13,98 min,"Comedy, Fantasy, Romance",6.8,61        ,"14,428"
The Nevers,2021– ,TV-MA,58 min,"Action, Drama, Fantasy",7.4,nil,"14,194"
Infinite,2021,PG-13,106 min,"Action, Sci-Fi, Thriller",5.3,28        ,"14,095"
 Attack on Titan,2013–2021,TV-MA,24 min,"Animation, Action, Adventure",9.7,nil,"13,939"
 Loki,2021– ,TV-14,53 min,"Action, Adventure, Fantasy",9.0,nil,"13,753"
 The Falcon and the Winter Soldier,2021,TV-14,53 min,"Action, Adventure, Drama",8.8,nil,"13,649"
Bliss,I 2021,R,103 min,"Drama, Romance, Sci-Fi",5.3,40        ,"13,602"
Them,2021– ,TV-MA,45 min,"Drama, Horror, Thriller",7.3,nil,"13,355"
 The Falcon and the Winter Soldier,2021,TV-14,47 min,"Action, Adventure, Drama",7.9,nil,"13,046"
 Attack on Titan,2013–2021,TV-MA,24 min,"Animation, Action, Adventure",8.9,nil,"12,974"
 Attack on Titan,2013–2021,TV-MA,24 min,"Animation, Action, Adventure",9.8,nil,"12,908"
Awake,III 2021,TV-MA,96 min,"Action, Adventure, Drama",4.8,35        ,"12,865"
Fatherhood,2021,PG-13,109 min,"Comedy, Drama",6.7,53        ,"12,606"
The Irregulars,2021,TV-14,nil,"Crime, Drama, Fantasy",5.9,nil,"12,188"
 Attack on Titan,2013–2021,TV-MA,24 min,"Animation, Action, Adventure",9.7,nil,"12,155"
 The Falcon and the Winter Soldier,2021,TV-14,51 min,"Action, Adventure, Drama",8.0,nil,"12,057"
 Attack on Titan,2013–2021,TV-MA,24 min,"Animation, Action, Adventure",9.1,nil,"11,982"
The Big Bull,2021,not rated,153 min,"Biography, Crime, Drama",6.1,nil,"11,611"
Dota: Dragon's Blood,2021– ,TV-MA,25 min,"Animation, Action, Adventure",8.1,nil,"11,436"
 Attack on Titan,2013–2021,TV-MA,24 min,"Animation, Action, Adventure",9.2,nil,"11,413"
 The Falcon and the Winter Soldier,2021,TV-14,49 min,"Action, Adventure, Drama",7.8,nil,"11,367"
 The Falcon and the Winter Soldier,2021,TV-14,57 min,"Action, Adventure, Drama",8.0,nil,"11,226"
 Attack on Titan,2013–2021,TV-MA,24 min,"Animation, Action, Adventure",9.7,nil,"11,201"
Red Dot,2021,TV-MA,86 min,"Drama, Horror, Thriller",5.5,nil,"11,177"
The One,2021– ,TV-MA,nil,"Crime, Drama, Sci-Fi",6.6,nil,"10,462"
Deadly Illusions,2021,R,114 min,"Drama, Thriller",3.7,nil,"10,266"
Star Wars: The Bad Batch,2021– ,TV-PG,nil,"Animation, Action, Adventure",8.4,nil,"10,175"
Vakeel Saab,2021,TV-14,153 min,"Action, Crime, Drama",7.8,nil,"10,111"
